date,site,depth_range_m,deep_ft,shallow_ft,deep_m,shallow_m,divers,net_type,net_num,clarity,bedrock,boulder,cobble,gravel,small_gravel,sand,silt,hard_clay,veg_low,veg_mid,veg_high,clad,veg_cover,veg_1,veg_2,veg_3,veg_4,veg_5
6/22/2023,TAM,15-10,15,10,4.6,3.0,SAB,EXP,UNK,3,0,0,0,5,0,95,0,0,P,A,A,UNK,5,0.1,0,0,0,0
6/22/2023,TAM,10-5,10,5,3.0,1.5,SAB,EXP,UNK,3,0,0,0,5,0,95,0,0,A,A,A,UNK,0,0,0,0,0,0
6/22/2023,TAM,5-3,5,3,1.5,0.9,SAB,EXP,UNK,3,0,0,20,20,30,30,0,0,A,A,A,UNK,0,0,0,0,0,0
6/22/2023,PYR,17-15,17,15,5.2,4.6,LK,CORE,10,6.3,25,0,0,0,0,70,5,0,P,A,A,UNK,5,0.1,0,0,0,0
7/7/2023,PEP2,45-40,45,40,13.7,12.2,LK,EXP,"10-12, 7, 11",4.8,10,0,0,0,0,0,90,0,A,A,A,UNK,0,0,0,0,0,0
7/7/2023,PEP2,40-35,40,35,12.2,10.6,LK,EXP,"10-12, 7, 12",4.8,5,0,0,0,0,5,85,0,A,A,A,UNK,1,0,0,0,0,0
7/7/2023,PEP2,35-30,35,30,10.6,9.1,LK,EXP,"10-12, 7, 13",4.8,5,0,0,0,0,15,80,0,P,A,A,UNK,5,0,0.15,0.15,0.3,0.3
7/7/2023,PEP2,30-25,30,25,9.1,7.6,LK,EXP,"10-12, 7, 14",4.8,0,0,0,0,0,30,70,0,P,A,A,UNK,15,0.1,0.1,0.1,0.3,0.3
7/7/2023,PEP2,25-20,25,20,7.6,6.1,LK,EXP,"10-12, 7, 15",4.8,0,0,0,0,0,85,15,0,P,A,A,UNK,10,0.3,0.3,0.1,0.1,0.5
7/7/2023,PEP2,20-15,20,15,6.1,4.6,LK,EXP,"10-12, 7, 16",4.8,0,0,0,0,5,95,0,0,P,A,A,UNK,50,0.1,0.1,0.1,0.1,0.3
7/7/2023,PEP2,15-10,15,10,4.6,3.0,LK,EXP,"10-12, 7, 17",4.8,0,95,0,0,5,0,0,0,P,A,A,P,0,0,0,0,0,0
7/7/2023,PEP2,55-50,55,50,16.7,15.2,LK,EXP,"10-12, 7, 9",4.8,10,0,0,0,0,0,90,0,A,A,A,UNK,0,0,0,0,0,0
7/7/2023,PEP2,50-45,50,45,15.2,13.7,LK,EXP,"10-12, 7, 10",4.8,10,0,0,0,0,0,90,0,A,A,A,UNK,0,0,0,0,0,0
7/7/2023,PEP2,45-40,45,40,13.7,12.2,SB,EXP,"10-12,7,11",4.8,10,0,0,0,0,0,90,0,A,A,A,UNK,0,0,0,0,0,0
